"tafsir_id","quote_count"
1,"65021"
2,"19718"
3,"32685"
4,"56219"
5,"40597"
6,"25859"
7,"34413"
8,"25178"
9,"41236"
10,"29860"
11,"25201"
12,"13262"
13,"25499"
14,"29987"
15,"19821"
16,"9620"
17,"28169"
18,"25943"
19,"39464"
20,"1470"
22,"47114"
23,"14460"
24,"46173"
25,"50706"
26,"39835"
28,"30843"
29,"1486"
30,"4269"
31,"5933"
32,"5442"
33,"9503"
36,"50059"
37,"34858"
38,"6114"
39,"32557"
40,"5911"
41,"19232"
42,"21191"
44,"146"
45,"1896"
47,"17601"
48,"20158"
49,"39848"
50,"35268"
51,"2576"
52,"71498"
54,"75639"
55,"26451"
56,"42590"
57,"35693"
60,"16870"
65,"4"
66,"12920"
67,"25443"
68,"4896"
71,"8726"
75,"29390"
76,"44534"
78,"2514"
79,"20452"
83,"23907"
84,"25693"
85,"3766"
88,"11729"
89,"2944"
90,"11904"
91,"23052"
92,"25382"
94,"40356"
95,"40832"
96,"21113"
97,"23178"
98,"17051"
99,"898"
100,"1559"
101,"4154"
102,"32480"
103,"17761"
104,"13652"
105,"2577"
